company_size,website_visits,email_opens,form_submissions,sales_calls,days_since_first_contact,converted
8,2,1,0,0,90,0
15,5,2,0,0,60,0
25,7,3,1,0,42,0
40,9,4,1,0,35,0
60,12,5,1,1,28,1
75,15,7,1,1,21,1
90,20,8,2,1,18,1
120,24,11,2,2,14,1
150,30,13,3,2,10,1
200,28,10,2,1,20,1
250,35,16,3,2,8,1
300,40,18,4,3,6,1
500,45,20,4,3,5,1
700,50,24,5,4,3,1
1000,55,27,6,4,2,1
20,3,1,0,0,80,0
35,6,2,0,0,50,0
50,8,3,1,0,40,0
65,10,5,1,0,32,0
80,14,6,1,1,25,1
100,18,8,2,1,19,1
140,22,9,2,2,15,1
180,26,12,3,2,11,1
220,31,14,3,2,9,1
280,36,17,4,3,7,1
400,42,19,4,3,5,1
600,48,22,5,4,4,1
900,53,25,5,4,3,1
1200,60,30,7,5,1,1
10,1,0,0,0,120,0
18,4,1,0,0,70,0
30,6,2,0,0,55,0
45,8,4,1,0,38,0
55,11,4,1,1,30,0
85,16,7,2,1,22,1
110,19,8,2,1,17,1
160,27,12,3,2,12,1
210,33,15,3,2,9,1
350,39,18,4,3,6,1
450,46,21,5,3,4,1
800,52,26,6,4,2,1
1500,62,32,8,5,1,1
12,2,1,0,0,100,0
28,5,2,0,0,65,0
42,7,3,1,0,45,0
70,10,4,1,0,33,0
95,13,6,1,1,24,1
130,21,9,2,1,16,1
170,25,11,2,2,13,1
230,29,13,3,2,10,1
320,37,17,4,3,7,1
480,44,20,5,3,5,1
650,49,23,5,4,4,1
1000,58,29,7,5,2,1
